# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	469164
#@/user_id	47d94b64-518c-4017-b837-441ef302fb7b
a 	啊	c=2755 d=0.939825 t=469164
a 	阿	c=22 d=8.76425e-08 t=469164
a a 	啊啊	c=1 d=1.87336e-179 t=469164
a a a 	啊啊啊	c=1 d=1.15538e-199 t=469164
a bei 	阿貝	c=1 d=1 t=467342
a dao fu 	阿道夫	c=1 d=1 t=168483
a gan 	阿甘	c=1 d=1.82095e-110 t=469164
a ha 	阿哈	c=1 d=2.43847e-163 t=469164
a hao 	阿豪	c=1 d=2.16324e-107 t=469164
a hong 	阿訇	c=1 d=1.51509e-202 t=469164
a jiao 	阿嬌	c=1 d=2.19653e-169 t=469164
a li 	阿里	c=80 d=0.222177 t=469164
a li ga dao 	阿里噶到	c=1 d=1 t=436736
a li lang 	阿里郎	c=1 d=9.26272e-188 t=469164
a li qi xia 	阿里旗下	c=1 d=1 t=355471
a li yun 	阿里雲	c=6 d=2.55155e-20 t=469164
a mi tuo fo 	啊彌陀佛	c=4 d=5.56519e-18 t=469164
a qing 	啊請	c=1 d=1 t=117559
a si dun 	阿斯頓	c=1 d=1 t=361108
a xing 	阿星	c=265 d=0.532592 t=469164
a yi 	阿姨	c=10 d=1.24024e-33 t=469164
ai 	哎	c=1 d=2.81828e-72 t=469164
ai 	唉	c=182 d=0.279431 t=469164
ai 	愛	c=29 d=0.360595 t=469164
ai 	捱	c=0 d=1.37859e-131 t=469164
ai 	矮	c=2 d=1.84789 t=449652
ai 	艾	c=3 d=5.46022e-178 t=469164
ai chao 	愛巢	c=29 d=1.86071 t=189425
ai che 	愛車	c=2 d=1.80654 t=352505
ai chi 	愛吃	c=1 d=1 t=455379
ai da 	捱打	c=3 d=1 t=255761
ai dao 	捱刀	c=1 d=9.95561e-125 t=469164
ai ge 	挨個	c=13 d=1 t=444175
ai guo 	愛國	c=1 d=1 t=266234
ai hao 	愛好	c=16 d=3.76014e-23 t=469164
ai hao zhe 	愛好者	c=1 d=1 t=256308
ai hu 	愛護	c=1 d=1 t=320453
ai ji 	愛己	c=1 d=6.82915e-161 t=469164
ai ku 	愛酷	c=1 d=2.19465e-12 t=469164
ai lun 	艾倫	c=1 d=1 t=328912
ai mu 	愛慕	c=1 d=1 t=103950
ai ni 	愛你	c=1 d=0.264477 t=469164
